Entity,Code,Year,LifeExpectancy,GDPPerCapita,PopulationEstimates,Continent
Colombia,COL,2015,76.531,13218,47119728,South America
Comoros,COM,2015,63.471,1696,730221,Africa
Congo,COG,2015,63.097,6272,5064390,Africa
Cook Islands,COK,2015,75.409,,17720,Oceania
Costa Rica,CRI,2015,79.565,13677,4895241,North America
Cote d'Ivoire,CIV,2015,56.065,3218,23596738,Africa
Croatia,HRV,2015,77.892,19698,4254821,Europe
Cuba,CUB,2015,78.561,7889,11339888,North America
Curacao,CUW,2015,78.268,,169588,North America
Cyprus,CYP,2015,80.35,24963,1187286,Europe
Czechia,CZE,2015,78.692,28194,10523801,Europe
Czechoslovakia,OWID_CZS,2015,,27041,,Europe
Democratic Republic of Congo,COD,2015,59.254,836,78656904,Africa
Denmark,DNK,2015,80.475,44635,5677795,Europe
Djibouti,DJI,2015,64.136,2941,1006266,Africa
Dominica,DMA,2015,74.194,9319,70027,North America
Dominican Republic,DOM,2015,73.241,13762,10405832,North America
East Germany,OWID_GDR,2015,,,,Europe
Ecuador,ECU,2015,76.143,10905,16195904,South America
Egypt,EGY,2015,71.302,11159,97723792,Africa
El Salvador,SLV,2015,72.412,8109,6231072,North America
Equatorial Guinea,GNQ,2015,57.359,37822,1346974,Africa
Eritrea,ERI,2015,64.664,,3340005,Africa
Eritrea and Ethiopia,OWID_ERE,2015,,,,Africa
Estonia,EST,2015,77.783,24493,1314658,Europe
Eswatini,SWZ,2015,55.359,7969,1133941,Africa
Ethiopia,ETH,2015,65.048,1553,102471896,Africa
Faeroe Islands,FRO,2015,80.13,,48848,Europe
Falkland Islands,FLK,2015,80.876,,3431,South America
Fiji,FJI,2015,67.103,,917209,Oceania
Finland,FIN,2015,81.196,36836,5479457,Europe
France,FRA,2015,82.224,36827,63809768,Europe
French Guiana,GUF,2015,79.555,,257033,South America
French Polynesia,PYF,2015,76.787,,291796,Oceania
French Southern Territories,ATF,2015,,,,Antarctica
Gabon,GAB,2015,64.913,18389,2028524,Africa
Gambia,GMB,2015,60.91,1786,2253137,Africa
Georgia,GEO,2015,72.973,10603,3771135,Asia
Germany,DEU,2015,80.77,44293,82073232,Europe
Ghana,GHA,2015,62.772,3809,28870946,Africa
Gibraltar,GIB,2015,79.351,,32546,Europe
Greece,GRC,2015,81.548,22442,10806644,Europe
Greenland,GRL,2015,71.407,,55916,North America
Grenada,GRD,2015,72.445,,118994,North America
Guadeloupe,GLP,2015,81.22,,399094,North America
Guam,GUM,2015,79.144,,167996,Oceania
Guatemala,GTM,2015,73.25,7138,16001105,North America
Guernsey,GGY,2015,,,61657,Europe
Guinea,GIN,2015,59.598,1364,11626003,Africa
Guinea-Bissau,GNB,2015,56.959,1393,1788931,Africa
Guyana,GUY,2015,69.262,,755043,South America
Haiti,HTI,2015,62.485,1742,10563762,North America
Hanover,OWID_HAN,2015,,,,Europe
Heard Island and McDonald Islands,HMD,2015,,,,Antarctica
Hesse Electoral,OWID_HSE,2015,,,,Europe
Hesse Grand Ducal,OWID_HSG,2015,,,,Europe
Honduras,HND,2015,74.495,4706,9294510,North America
Hong Kong,HKG,2015,84.043,47777,7399845,Asia
Hungary,HUN,2015,76.006,22788,9844250,Europe
Iceland,ISL,2015,82.481,39727,331068,Europe
India,IND,2015,68.607,5794,1322866560,Asia
Indonesia,IDN,2015,70.768,10484,259091968,Asia
Iran,IRN,2015,75.796,16253,81790848,Asia
Iraq,IRQ,2015,69.929,13014,37757812,Asia
Ireland,IRL,2015,81.344,54278,4665764,Europe
Isle of Man,IMN,2015,80.82,,83614,Europe
Israel,ISR,2015,82.34,30954,8007777,Asia
Italy,ITA,2015,82.828,33118,60232908,Europe
Jamaica,JAM,2015,74.098,7024,2794455,North America
Japan,JPN,2015,83.879,37031,127250936,Asia
Jersey,JEY,2015,,,100572,Europe
Jordan,JOR,2015,74.078,11519,9494250,Asia
Kazakhstan,KAZ,2015,71.319,23850,17835908,Asia
Kenya,KEN,2015,64.798,3046,46851496,Africa
Kiribati,KIR,2015,67.291,,116717,Oceania
Kosovo,OWID_KOS,2015,,,1759122,Europe
Kuwait,KWT,2015,75.13,71354,3908745,Asia
Kyrgyzstan,KGZ,2015,70.876,4754,5914985,Asia
Laos,LAO,2015,66.546,5559,6787420,Asia
Latvia,LVA,2015,74.733,21488,1991951,Europe
Lebanon,LBN,2015,78.768,12953,6398941,Asia
Lesotho,LSO,2015,51.038,2710,2118532,Africa
Liberia,LBR,2015,62.269,865,4612330,Africa
Libya,LBY,2015,72.121,8514,6192241,Africa
Liechtenstein,LIE,2015,82.039,,37378,Europe
Lithuania,LTU,2015,74.923,23889,2963764,Europe
Luxembourg,LUX,2015,81.636,55972,569415,Europe
Macao,MAC,2015,83.707,,615243,Asia
Madagascar,MDG,2015,65.539,1360,24850912,Africa
Malawi,MWI,2015,61.953,1124,16938944,Africa
Malaysia,MYS,2015,75.461,22432,31068834,Asia
Maldives,MDV,2015,77.691,,435590,Asia
Mali,MLI,2015,57.509,1553,18112910,Africa
Malta,MLT,2015,81.896,28700,456585,Europe
Marshall Islands,MHL,2015,72.789,,49426,Oceania
Martinique,MTQ,2015,81.753,,383523,North America
Mauritania,MRT,2015,63.936,3424,3946225,Africa
Mauritius,MUS,2015,74.5,18322,1293159,Africa
Mayotte,MYT,2015,79.408,,249555,Africa
Mecklenburg Schwerin,OWID_MEC,2015,,,,Europe
Mexico,MEX,2015,74.904,16096,120149896,North America
Micronesia (country),FSM,2015,67.315,,109477,Oceania
Modena,OWID_MOD,2015,,,,Europe
Moldova,MDA,2015,71.478,5775,3277390,Europe
Monaco,MCO,2015,85.739,,36781,Europe
Mongolia,MNG,2015,69.111,12398,2964756,Asia
Montenegro,MNE,2015,76.452,17249,633969,Europe
Montserrat,MSR,2015,74.339,,5083,North America
Morocco,MAR,2015,75.726,8001,34680456,Africa
Mozambique,MOZ,2015,57.206,1103,26843252,Africa
Myanmar,MMR,2015,65.81,5021,51483956,Asia
Nagorno-Karabakh,OWID_NAG,2015,,,,Asia
Namibia,NAM,2015,62.119,9462,2282709,Africa
Nauru,NRU,2015,59.758,,11207,Oceania
Nepal,NPL,2015,69.515,2455,27610328,Asia
Netherlands,NLD,2015,81.715,44869,17041110,Europe
Netherlands Antilles,ANT,2015,,,318504,North America
New Caledonia,NCL,2015,76.827,,283041,Oceania
New Zealand,NZL,2015,81.713,33696,4590591,Oceania
Nicaragua,NIC,2015,73.649,4866,6298610,North America
Niger,NER,2015,60.631,913,20128132,Africa
Nigeria,NGA,2015,53.112,5578,183995776,Africa
Niue,NIU,2015,73.135,,1871,Oceania
Norfolk Island,NFK,2015,,,,Oceania
North Korea,PRK,2015,71.481,1762.516724,25258012,Asia
North Macedonia,MKD,2015,75.406,12371,2107965,Europe
Northern Cyprus,OWID_CYN,2015,,,,Asia
Northern Mariana Islands,MNP,2015,75.279,,51538,Oceania
Norway,NOR,2015,81.912,82713,5190357,Europe
Oman,OMN,2015,76.887,38738,4191784,Asia
Pakistan,PAK,2015,66.577,5030,210969296,Asia
Palau,PLW,2015,72.834,,17822,Oceania
Palestine,PSE,2015,73.442,5003,4484615,Asia
Panama,PAN,2015,77.776,20723,3957102,North America
Papua New Guinea,PNG,2015,63.466,,8682172,Oceania
Paraguay,PRY,2015,73.662,8539,6177954,South America
Parma,OWID_PMA,2015,,,,Europe
Peru,PER,2015,75.792,11445,30711864,South America
Philippines,PHL,2015,70.644,7047,103031360,Asia
Pitcairn,PCN,2015,,,,Oceania
Poland,POL,2015,77.859,24177,38553148,Europe
Portugal,PRT,2015,81.224,24915,10365436,Europe
Puerto Rico,PRI,2015,79.52,35384,3497335,North America
Qatar,QAT,2015,79.758,156029,2414580,Asia
Republic of Vietnam,OWID_RVN,2015,,,,Asia
Reunion,REU,2015,79.775,,922501,Africa
Romania,ROU,2015,75.476,19320,19906078,Europe
Russia,RUS,2015,71.464,23691,144668384,Europe
Rwanda,RWA,2015,67.45,1693,11642963,Africa
Saint Barthélemy,BLM,2015,,,,North America
Saint Helena,SHN,2015,80.202,,5520,Africa
Saint Kitts and Nevis,KNA,2015,75.532,,47814,North America
Saint Lucia,LCA,2015,75.596,10185,175638,North America
Saint Martin (French part),MAF,2015,81.092,,35042,North America
Saint Pierre and Miquelon,SPM,2015,80.533,,6001,North America
Saint Vincent and the Grenadines,VCT,2015,72.095,,106493,North America
Samoa,WSM,2015,72.73,,203586,Oceania
San Marino,SMR,2015,84.375,,33593,Europe
Sao Tome and Principe,STP,2015,69.377,3545,201142,Africa
Saudi Arabia,SAU,2015,74.651,51681,32749838,Asia
Saxony,OWID_SAX,2015,,,,Europe
Senegal,SEN,2015,66.747,2311,14356191,Africa
Serbia,SRB,2015,75.309,12765,7519501,Europe
Serbia and Montenegro,OWID_SRM,2015,,,,Europe
Serbia excluding Kosovo,OWID_SEK,2015,,,,Europe
Seychelles,SYC,2015,73.182,25690,99260,Africa
Sierra Leone,SLE,2015,52.941,1563,7314779,Africa
Singapore,SGP,2015,82.877,65660,5650020,Asia
Sint Maarten (Dutch part),SXM,2015,78.36,,40228,North America
Slovakia,SVK,2015,76.827,24588,5424449,Europe
Slovenia,SVN,2015,80.673,26268,2080865,Europe
Solomon Islands,SLB,2015,72.173,,612670,Oceania
Somalia,SOM,2015,55.92,,13763909,Africa
Somaliland,OWID_SML,2015,,,,Africa
South Africa,ZAF,2015,62.649,12246,55876504,Africa
South Georgia and the South Sandwich Islands,SGS,2015,,,,South America
South Korea,KOR,2015,82.1,35269,50994396,Asia
South Ossetia,OWID_SOS,2015,,,,Asia
South Sudan,SSD,2015,56.855,,11194300,Africa
Spain,ESP,2015,82.981,31847,46431344,Europe
Sri Lanka,LKA,2015,76.316,10763,21336692,Asia
Sudan,SDN,2015,64.429,,38171172,Africa
Suriname,SUR,2015,71.249,,575478,South America
Svalbard and Jan Mayen,SJM,2015,,,2400,Europe
Sweden,SWE,2015,82.251,43746,9849344,Europe
Switzerland,CHE,2015,83.142,59307,8281735,Europe
Syria,SYR,2015,69.908,3049,19205178,Asia
Taiwan,TWN,2015,79.743,41668,23512136,Asia
Tajikistan,TJK,2015,70.137,3789,8524066,Asia
Tanzania,TZA,2015,63.111,2566,52542824,Africa
Thailand,THA,2015,76.091,15020,70294408,Asia
Timor,TLS,2015,68.459,,1205822,Asia
Togo,TGO,2015,59.927,1370,7473232,Africa
Tokelau,TKL,2015,81.065,,1480,Oceania
Tonga,TON,2015,70.517,,106140,Oceania
Transnistria,OWID_TRS,2015,,,,Europe
Trinidad and Tobago,TTO,2015,72.941,30702,1460180,North America
Tunisia,TUN,2015,75.922,11060,11557779,Africa
Turkey,TUR,2015,76.532,19836,79646176,Asia
Turkmenistan,TKM,2015,67.704,22675,5766427,Asia
Turks and Caicos Islands,TCA,2015,79.594,,36556,North America
Tuscany,OWID_TUS,2015,,,,Europe
Tuvalu,TUV,2015,66.457,,10896,Oceania
Two Sicilies,OWID_SIC,2015,,,,Europe
USSR,OWID_USS,2015,,18479,,Europe
Uganda,UGA,2015,61.373,1954,37477356,Africa
Ukraine,UKR,2015,71.535,8961,44982564,Europe
United Arab Emirates,ARE,2015,77.285,74746,8916909,Asia
United Kingdom,GBR,2015,81.052,36941,65224368,Europe
United Korea,OWID_KRU,2015,,,,Asia
United States,USA,2015,78.91,52591,324607776,North America
United States Minor Outlying Islands,UMI,2015,,,,Oceania
United States Virgin Islands,VIR,2015,79.914,,102808,North America
Uruguay,URY,2015,77.369,19244,3402820,South America
Uzbekistan,UZB,2015,70.928,9720,30949416,Asia
Vanuatu,VUT,2015,69.869,,276450,Oceania
Vatican,VAT,2015,74.344,,790,Europe
Venezuela,VEN,2015,72.584,18802,30529722,South America
Vietnam,VNM,2015,75.11,5763,92191400,Asia
Wallis and Futuna,WLF,2015,79.3,,12208,Oceania
West Germany,OWID_GFR,2015,,,,Europe
Western Sahara,ESH,2015,69.213,,491837,Africa
Wuerttemburg,OWID_WRT,2015,,,,Europe
Yemen,YEM,2015,66.085,2844,28516552,Asia
Yemen Arab Republic,OWID_YAR,2015,,,,Asia
Yemen People's Republic,OWID_YPR,2015,,,,Asia
Yugoslavia,OWID_YGS,2015,,14971,,Europe
Zambia,ZMB,2015,61.737,3478,16248231,Africa
Zanzibar,OWID_ZAN,2015,,,,Africa
Zimbabwe,ZWE,2015,59.534,1560,14154937,Africa
Åland Islands,ALA,2015,,,,Europe
